time,x,y,theta,period,anti period
35.1375,-0.027378307972754094,0.15106598984771574,-0.17928804579613597,42.0,43.0
35.14166666666665,-0.027378307972754094,0.15106598984771574,-0.17928804579613597,42.0,43.0
35.14583333333335,-0.02659150594229724,0.15106598984771574,-0.1742407740941666,42.0,43.0
35.15,-0.02659150594229724,0.15106598984771574,-0.1742407740941666,42.0,43.0
35.15416666666665,-0.02580470391184039,0.15106598984771574,-0.16918451800874224,42.0,43.0
35.15833333333335,-0.02580470391184039,0.15106598984771574,-0.16918451800874224,42.0,43.0
35.1625,-0.025017901881383538,0.15106598984771574,-0.16411951274172173,42.0,43.0
35.16666666666665,-0.025017901881383538,0.15106598984771574,-0.16411951274172173,42.0,43.0
35.17083333333335,-0.025017901881383538,0.1518527918781726,-0.16328422494341843,42.0,43.0
35.175,-0.02344429782046983,0.1518527918781726,-0.15317891825556904,42.0,43.0
35.17916666666665,-0.02344429782046983,0.15106598984771574,-0.15396420846332637,42.0,43.0
35.18333333333335,-0.02265749579001298,0.15106598984771574,-0.14887439267378344,42.0,43.0
35.1875,-0.02265749579001298,0.1518527918781726,-0.1481142833967435,42.0,43.0
35.19166666666665,-0.02108389172909927,0.1518527918781726,-0.13796225985763536,42.0,43.0
35.19583333333335,-0.02108389172909927,0.1518527918781726,-0.13796225985763536,42.0,43.0
35.2,-0.02029708969864242,0.1518527918781726,-0.13287536175320339,42.0,43.0
35.20416666666665,-0.019510287668185567,0.1518527918781726,-0.12778153682262586,42.0,43.0
35.20833333333335,-0.019510287668185567,0.1518527918781726,-0.12778153682262586,42.0,43.0
35.2125,-0.01793668360727186,0.1518527918781726,-0.11757411136387502,42.0,43.0
35.21666666666665,-0.01793668360727186,0.1518527918781726,-0.11757411136387502,42.0,43.0
35.22083333333335,-0.017149881576815008,0.1518527918781726,-0.11246101832356808,42.0,43.0
35.225,-0.015576277515901302,0.1518527918781726,-0.10221735473968477,42.0,43.0
35.22916666666665,-0.015576277515901302,0.1518527918781726,-0.10221735473968477,42.0,43.0
35.23333333333335,-0.01478947548544445,0.1518527918781726,-0.09708730289763372,42.0,43.0
35.2375,-0.014002673454987596,0.1518527918781726,-0.09195211967920966,42.0,43.0
35.24166666666665,-0.01242906939407389,0.1518527918781726,-0.0816674147228967,42.0,43.0
35.24583333333335,-0.011642267363617039,0.15263959390862944,-0.0761255256368585,42.0,43.0
35.25,-0.010068663302703333,0.1518527918781726,-0.06620850798071438,42.0,43.0
35.25416666666665,-0.010068663302703333,0.1518527918781726,-0.06620850798071438,42.0,43.0
35.25833333333335,-0.00928186127224648,0.1518527918781726,-0.061048121135226494,42.0,43.0
35.2625,-0.00928186127224648,0.1518527918781726,-0.061048121135226494,42.0,43.0
35.26666666666665,-0.007708257211332774,0.15263959390862944,-0.050456860065740336,42.0,43.0
35.27083333333335,-0.007708257211332774,0.15263959390862944,-0.050456860065740336,42.0,43.0
35.275,-0.006134653150419068,0.15263959390862944,-0.040168826100428205,42.0,43.0
35.27916666666665,-0.006134653150419068,0.1518527918781726,-0.04037672918328862,42.0,43.0
35.28333333333335,-0.0037742470590485097,0.15263959390862944,-0.024721489696611858,42.0,43.0
35.2875,-0.002987445028591657,0.1518527918781726,-0.019670759175877087,42.0,43.0
35.29166666666665,-0.002200642998134804,0.15263959390862944,-0.014416249989513918,42.0,43.0
35.29583333333335,-0.0014138409676779512,0.15263959390862944,-0.009262344714235187,42.0,43.0
35.3,-0.0014138409676779512,0.1518527918781726,-0.009310333371481872,42.0,43.0
35.30416666666665,-0.0006270389372210984,0.1518527918781726,-0.004129231775552694,42.0,43.0
35.30833333333335,0.0009465651236926073,0.1518527918781726,0.006233358323113854,42.0,43.0
35.3125,0.0009465651236926073,0.1518527918781726,0.006233358323113854,42.0,43.0
35.31666666666665,0.002520169184606313,0.1518527918781726,0.01659460990842525,42.0,43.0
35.32083333333335,0.002520169184606313,0.1518527918781726,0.01659460990842525,42.0,43.0
35.325,0.004093773245520019,0.1518527918781726,0.02695229947265855,42.0,43.0
35.32916666666665,0.005667377306433724,0.1518527918781726,0.03730420809244323,42.0,43.0
35.33333333333335,0.005667377306433724,0.1518527918781726,0.03730420809244323,42.0,43.0
35.3375,0.00724098136734743,0.1518527918781726,0.04764812427447605,42.0,43.0
35.34166666666665,0.008027783397804283,0.1518527918781726,0.05281639683641726,42.0,43.0
35.34583333333335,0.008027783397804283,0.1518527918781726,0.05281639683641726,42.0,43.0
35.35,0.009601387458717988,0.1518527918781726,0.06314420100172263,42.0,43.0
35.35416666666665,0.009601387458717988,0.1518527918781726,0.06314420100172263,42.0,43.0
35.35833333333335,0.01038818948917484,0.1518527918781726,0.06830318740087266,42.0,43.0
35.3625,0.011174991519631694,0.15106598984771574,0.07383974587875873,42.0,43.0
35.36666666666665,0.0127485955805454,0.1518527918781726,0.08375723514349004,42.0,43.0
35.37083333333335,0.013535397611002252,0.15106598984771574,0.08936061829255613,42.0,43.0
35.375,0.014322199641459105,0.1518527918781726,0.09403815792824606,42.0,43.0
35.37916666666665,0.015109001671915957,0.1518527918781726,0.09917128894575954,42.0,43.0
35.38333333333335,0.01589580370237281,0.1518527918781726,0.10429918202370181,42.0,43.0
35.3875,0.016682605732829665,0.1518527918781726,0.10942157592290426,42.0,43.0
35.39166666666665,0.016682605732829665,0.15106598984771574,0.1099869066662735,42.0,43.0
35.39583333333335,0.016682605732829665,0.1518527918781726,0.10942157592290426,42.0,43.0
35.4,0.017469407763286517,0.15106598984771574,0.1151295202233536,42.0,43.0
35.40416666666665,0.01825620979374337,0.1518527918781726,0.11964882987451175,42.0,43.0
35.40833333333335,0.01904301182420022,0.1518527918781726,0.12475317631815042,42.0,43.0
35.4125,0.019829813854657076,0.1518527918781726,0.12985099651126164,42.0,43.0
35.41666666666665,0.020616615885113928,0.1518527918781726,0.13494203852138736,42.0,43.0
35.42083333333335,0.020616615885113928,0.1518527918781726,0.13494203852138736,42.0,43.0
35.425,0.02140341791557078,0.1518527918781726,0.1400260524908888,42.0,43.0
35.42916666666665,0.022190219946027632,0.1518527918781726,0.14510279070459148,42.0,43.0
35.43333333333335,0.022190219946027632,0.1518527918781726,0.14510279070459148,42.0,43.0
35.4375,0.022977021976484487,0.1518527918781726,0.15017200765583874,42.0,43.0
35.44166666666665,0.02376382400694134,0.1518527918781726,0.1552334601109161,42.0,43.0
35.44583333333335,0.022977021976484487,0.1518527918781726,0.15017200765583874,42.0,43.0
35.45,0.02376382400694134,0.1518527918781726,0.1552334601109161,42.0,43.0
35.45416666666665,0.02376382400694134,0.15106598984771574,0.15602894232796916,42.0,43.0
35.45833333333335,0.02455062603739819,0.1518527918781726,0.16028690717180955,42.0,43.0
